ID,Event,Tactic,Technique
2018_T01_019,"{""endtime"":""2018-11-03T16:19:59.233568Z"",""timestamp"":""2018-11-03T16:19:59.231136Z"",""bytes"":18777,""src_mac"":""42:01:0A:00:00:01"",""src_port"":50253,""bytes_in"":430,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":18347,""time_taken"":2552,""transport"":""tcp"",""flow_id"":""96b11df7-3ab9-4b0f-8fae-0c0458be6362"",""src_ip"":""10.0.254.104"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":18013,""http_content_type"":""application/json; charset=UTF-8"",""site"":""10.0.0.176"",""http_method"":""GET"",""http_referrer"":""http://10.0.0.176/about"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/public/apidoc.json"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}",Initial Access,Drive-by Compromise
2018_T01_020,"{""endtime"":""2018-11-03T21:31:40.591992Z"",""timestamp"":""2018-11-03T21:31:40.571760Z"",""bytes"":838,""src_mac"":""42:01:0A:00:00:01"",""src_port"":52498,""bytes_in"":554,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":284,""time_taken"":21231,""transport"":""tcp"",""flow_id"":""cf05cfef-f6cd-48b9-a08b-13b4fb0c6640"",""src_ip"":""10.0.254.104"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":41,""http_content_type"":""application/json; charset=utf-8"",""form_data"":""userName=jerrold.reddick&groupName=Administrators"",""site"":""10.0.0.176"",""http_method"":""POST"",""http_referrer"":""http://10.0.0.176/users/checkGroupMembership"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/api/v1/addUserToGroup"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}","Privilege Escalation, Persistence","Exploitation for Privilege Escalation, Account Manipulation"
2018_T01_021,"{""endtime"":""2018-11-03T21:34:43.884478Z"",""timestamp"":""2018-11-03T21:34:43.851100Z"",""bytes"":837,""src_mac"":""42:01:0A:00:00:01"",""src_port"":52925,""bytes_in"":553,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":284,""time_taken"":34076,""transport"":""tcp"",""flow_id"":""b91e1518-0300-4622-a465-6994ff2f90c8"",""src_ip"":""10.0.254.104"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":41,""http_content_type"":""application/json; charset=utf-8"",""form_data"":""userName=jerrold.reddick&groupName=Domain Admins"",""site"":""10.0.0.176"",""http_method"":""POST"",""http_referrer"":""http://10.0.0.176/users/checkGroupMembership"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/api/v1/addUserToGroup"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}","Privilege Escalation, Persistence","Exploitation for Privilege Escalation, Account Manipulation"
2018_T01_022,"{""endtime"":""2018-11-03T21:36:18.794429Z"",""timestamp"":""2018-11-03T21:36:18.775098Z"",""bytes"":844,""src_mac"":""42:01:0A:00:00:01"",""src_port"":53132,""bytes_in"":560,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":284,""time_taken"":20060,""transport"":""tcp"",""flow_id"":""55f0f439-ac78-4c28-abb3-b02ca1bb0d90"",""src_ip"":""10.0.254.104"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":41,""http_content_type"":""application/json; charset=utf-8"",""form_data"":""userName=jerrold.reddick&groupName=Remote Desktop Users"",""site"":""10.0.0.176"",""http_method"":""POST"",""http_referrer"":""http://10.0.0.176/users/checkGroupMembership"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/api/v1/addUserToGroup"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}","Privilege Escalation, Persistence","Exploitation for Privilege Escalation, Account Manipulation"
2018_T01_023,root 21835 0 5.0 00:00:00 0.3 29908 488652 pts/0 S 00:02 docker run_-d_-p_443:443_--name_openvas_mikesplain/openvas,Discovery,Network Service Scanning
2018_T01_024,root 13487 1 0.0 00:00:00 0.0 2468 17368 pts/0 S 00:26 unicornscan -i_ens4_-mT_10.0.0.10:a_-l_/root/.onetwopunch/udir/10.0.0.10-tcp.txt,Discovery,Network Service Scanning
2018_T01_025,"root 14839 1 2.9 00:00:00 0.6 50488 67072 pts/0 S 00:15 nmap -e_ens4_-sV_-oX_/root/.onetwopunch/ndir/10.0.0.10-tcp.xml_-oG_/root/.onetwopunch/ndir/10.0.0.10-tcp.grep_-p_53,88,135,139,389,445,464,593,636,3268,3269,3389,5985,5986,9389,47001,49664,49665,49666,49669,49671,49675,49676,49678,49684,49696,56137,_10.0.0.10",Discovery,Network Service Scanning
2018_T01_026,root 22985 1 4.5 00:00:00 0.3 28796 488652 pts/0 S 00:02 docker run_-d_-p_443:443_--name_openvas_mikesplain/openvas:9,Discovery,Network Service Scanning
2018_T01_027,root 29637 0 0.0 00:00:00 0.0 6680 187384 pts/0 S 00:00 gsad --mlisten_127.0.0.1_-m_9390_--gnutls-priorities=SECURE128:-AES-128-CBC:-CAMELLIA-128-CBC:-VERS-SSL3.0:-VERS-TLS1.0_--port=443_--no-redirect_--allow-header-host=openvas,Discovery,Network Service Scanning
2018_T01_028,root 5286 1 0.0 00:00:00 0.2 18416 70468 ? R 00:00 openvassd: testing_10.0.0.22_(/var/lib/openvas/plugins/gb_open_udp_ports.nasl),Discovery,Network Service Scanning
2018_T01_029,root 4946 1 0.0 00:00:00 0.2 18584 70504 ? S 00:10 openvassd: testing_10.0.0.10_(/var/lib/openvas/plugins/find_service.nasl),Discovery,Network Service Scanning
2018_T01_030,root 13652 1 5.6 00:00:00 0.2 18632 70468 ? S 00:03 openvassd: testing_10.0.0.10_(/var/lib/openvas/plugins/2014/gb_default_smb_credentials.nasl),"Credential Access, Initial Access","Brute Force, Valid Accounts"
2018_T01_031,"{""endtime"":""2018-11-03T20:57:51.155718Z"",""timestamp"":""2018-11-03T20:57:51.152464Z"",""bytes"":559,""src_ip"":""10.0.254.202"",""src_mac"":""42:01:0A:00:FE:CA"",""src_port"":60309,""bytes_in"":474,""dest_ip"":""10.0.0.10"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":445,""bytes_out"":85,""time_taken"":3254,""transport"":""tcp"",""flow_id"":""f6f03228-2984-42f9-9761-5662485efd3e"",""command"":[""smb2 session setup"",""smb2 session setup""],""domain"":""WORKGROUP"",""login"":""administrator"",""nt_status"":[0,0],""protocol_stack"":""ip:tcp:netbios:smb""}","Credential Access, Initial Access","Brute Force, Valid Accounts"
2018_T01_032,"11/03/2018 08:57:51 PM LogName=Security SourceName=Microsoft Windows security auditing. EventCode=4624 EventType=0 Type=Information ComputerName=ad-00.corp.wheelzapp.com TaskCategory=Logon OpCode=Info RecordNumber=840105 Keywords=Audit Success Message=An account was successfully logged on. Subject: Security ID: NULL SID Account Name: - Account Domain: - Logon ID: 0x0 Logon Information: Logon Type: 3 Restricted Admin Mode: - Virtual Account: No Elevated Token: Yes Impersonation Level: Impersonation New Logon: Security ID: CORP\Administrator Account Name: Administrator Account Domain: CORP Logon ID: 0x226AB6F Linked Logon ID: 0x0 Network Account Name: - Network Account Domain: - Logon GUID: {00000000-0000-0000-0000-000000000000} Process Information: Process ID: 0x0 Process Name: - Network Information: Workstation Name: - Source Network Address: 10.0.254.202 Source Port: 60309 Detailed Authentication Information: Logon Process: NtLmSsp Authentication Package: NTLM Transited Services: - Package Name (NTLM only): NTLM V2 Key Length: 128 This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",Privilege Escalation,Valid Accounts
2018_T01_033,root 13487 1 0.0 00:00:00 0.0 2468 17368 pts/0 S 00:26 unicornscan -i_ens4_-mT_10.0.0.10:a_-l_/root/.onetwopunch/udir/10.0.0.10-tcp.txt,Discovery,Network Service Scanning
2018_T01_034,"11/03/2018 06:02:59 PM LogName=Security SourceName=Microsoft Windows security auditing. EventCode=4624 EventType=0 Type=Information ComputerName=ad-00.corp.wheelzapp.com TaskCategory=Logon OpCode=Info RecordNumber=765715 Keywords=Audit Success Message=An account was successfully logged on. Subject: Security ID: NULL SID Account Name: - Account Domain: - Logon ID: 0x0 Logon Information: Logon Type: 3 Restricted Admin Mode:	- Virtual Account: No Elevated Token: Yes Impersonation Level: Impersonation New Logon: Security ID: CORP\jerrold.reddick Account Name: jerrold.reddick Account Domain: CORP Logon ID: 0x18E6CC0 Linked Logon ID: 0x0 Network Account Name:	- Network Account Domain:	- Logon GUID: {00000000-0000-0000-0000-000000000000} Process Information: Process ID: 0x0 Process Name: - Network Information: Workstation Name:	WIN04 Source Network Address:	10.0.254.104 Source Port: 0 Detailed Authentication Information: Logon Process: NtLmSsp Authentication Package:	NTLM Transited Services:	- Package Name (NTLM only):	NTLM V2 Key Length: 128 This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",Lateral Movement,"Valid Accounts, Remote Services"
2018_T01_035,"11/03/2018 06:16:31 PM LogName=Security SourceName=Microsoft Windows security auditing. EventCode=4624 EventType=0 Type=Information ComputerName=employee-01.corp.wheelzapp.com TaskCategory=Logon OpCode=Info RecordNumber=169233 Keywords=Audit Success Message=An account was successfully logged on. Subject: Security ID: NULL SID Account Name: - Account Domain: - Logon ID: 0x0 Logon Information: Logon Type: 3 Restricted Admin Mode: - Virtual Account: No Elevated Token: Yes Impersonation Level: Impersonation New Logon: Security ID: CORP\jerrold.reddick Account Name: jerrold.reddick Account Domain: CORP Logon ID: 0x219C34 Linked Logon ID: 0x0 Network Account Name: - Network Account Domain: - Logon GUID: {00000000-0000-0000-0000-000000000000} Process Information: Process ID: 0x0 Process Name: - Network Information: Workstation Name: WIN04 Source Network Address: 10.0.254.104 Source Port: 50702 Detailed Authentication Information: Logon Process: NtLmSsp Authentication Package: NTLM Transited Services: - Package Name (NTLM only): NTLM V2 Key Length: 128 This event is generated when a logon session is created. It is generated on the computer that was accessed. The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe. The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network). The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on. The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases. The impersonation level field indicates the extent to which a process in the logon session can impersonate. The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested.",Lateral Movement,"Valid Accounts, Remote Services"
2018_T01_036,"{""endtime"":""2018-11-03T18:16:31.707632Z"",""timestamp"":""2018-11-03T18:16:31.707466Z"",""bytes"":194,""src_ip"":""10.0.254.104"",""src_mac"":""42:01:0A:00:00:01"",""src_port"":50702,""bytes_in"":110,""dest_ip"":""10.0.0.241"",""dest_mac"":""42:01:0A:00:00:F1"",""dest_port"":445,""bytes_out"":84,""time_taken"":166,""transport"":""tcp"",""flow_id"":""c7a6c9b6-28ae-4b99-87db-1b255b6cddae"",""command"":[""smb2 tree connect"",""smb2 tree connect""],""nt_status"":[0,0],""path"":""\\\\10.0.0.241\\IPC$"",""protocol_stack"":""ip:tcp:netbios:smb""}",Discovery,Network Share Discovery
2018_T01_037,"{""endtime"":""2018-11-03T18:16:32.596182Z"",""timestamp"":""2018-11-03T18:16:32.595942Z"",""bytes"":200,""src_ip"":""10.0.254.104"",""src_mac"":""42:01:0A:00:00:01"",""src_port"":50705,""bytes_in"":116,""dest_ip"":""10.0.0.241"",""dest_mac"":""42:01:0A:00:00:F1"",""dest_port"":445,""bytes_out"":84,""time_taken"":240,""transport"":""tcp"",""flow_id"":""c24f2fab-939f-45e1-87ed-48f2bd2f25f2"",""command"":[""smb2 tree connect"",""smb2 tree connect""],""nt_status"":[0,0],""path"":""\\\\10.0.0.241\\wwwroot"",""protocol_stack"":""ip:tcp:netbios:smb""}",Discovery,Network Share Discovery
2018_T01_038,11/03/2018 09:49:24 PM LogName=Security SourceName=Microsoft Windows security auditing. EventCode=4720 EventType=0 Type=Information ComputerName=ad-00.corp.wheelzapp.com TaskCategory=User Account Management OpCode=Info RecordNumber=894702 Keywords=Audit Success Message=A user account was created. Subject: Security ID: CORP\jerrold.reddick Account Name: jerrold.reddick Account Domain: CORP Logon ID: 0x2542D92 New Account: Security ID: CORP\bsakamoto Account Name: bsakamoto Account Domain: CORP Attributes: SAM Account Name: bsakamoto Display Name: bsakamoto User Principal Name: bsakamoto@corp.wheelzapp.com Home Directory: - Home Drive: - Script Path: - Profile Path: - User Workstations: - Password Last Set: <never> Account Expires: <never> Primary Group ID: 513 Allowed To Delegate To: - Old UAC Value: 0x0 New UAC Value: 0x15 User Account Control: Account Disabled 'Password Not Required' - Enabled 'Normal Account' - Enabled User Parameters: - SID History: - Logon Hours: <value not set> Additional Information: Privileges -,Persistence,Create Account
